id,WI,dem,urban_near,road_near,耕地面积,林地面积,草地面积,湿地面积,城市面积,裸地面积,水体面积,NTL_mean
BD201400000330,3.785714286,4.665909091,24071.02811,170.1128044,91162587.8,35216026.87,2525414.943,0,1149284.388,0,5048701.022,0.401473317
BD201400000331,3.346153846,4.943181818,31385.49203,5346.92427,91162587.8,2365204.834,1367750.309,0,522401.9946,0,23919809.62,1.019238839
BD201400000332,3.25,4.714285714,91.60882842,813.3196581,91162587.8,0,0,0,1358245.186,0,208960.7979,0.33941276
BD201400000333,4.75862069,2.403892944,1464.185916,3240.795137,91162587.8,0,0,0,1880647.181,0,0,0.549154448
BD201400000334,2.466666667,3.586466165,14951.20421,1211.060469,91162587.8,0,0,0,417921.5957,0,5726938.164,0.594199547
BD201400000335,4.185185185,6.590909091,17473.0695,487.9340543,91162587.8,10365314.75,1830414.931,1044803.989,731362.7925,0,7071233.163,0.587910541
BD201400000336,3.366666667,4.233333333,12085.41227,4962.235583,91162587.8,3134248.122,0,0,313441.1968,0,836157.763,0.41043492
BD201400000337,4.724137931,15.62,408.6993123,18.50432898,91162587.8,1689535.204,0,0,6791225.93,0,1044803.989,1.570038993
BD201400000338,4.678571429,15.01190476,1.229299716,460.755854,91162587.8,1500846.428,0,0,6791225.93,0,741073.1613,1.445248774
BD201400000339,3.7,12.50852273,34423.06371,10420.99459,91162587.8,0,0,0,626882.3936,0,33776533.77,1.102508695
BD201400000340,3.892857143,7.166666667,841.9366722,15.56293504,91162587.8,313441.1968,0,0,3134411.968,0,208960.7979,0.743597192
BD201400000341,2.5,9.719047619,16118.27423,674.7452029,91162587.8,208960.7979,0,0,522401.9946,0,672118.1384,0.458066049
BD201400000342,3.518518519,10.185,6877.728608,303.4825763,91162587.8,0,1053971.601,0,0,0,13416226.82,0.208682964
BD201400000343,1.965517241,9.412698413,16034.07057,6362.07873,91162587.8,32247736.34,17727961.99,186410.0235,0,0,6511823.782,0.132845104
BD201400000344,3.714285714,7.875862069,0,324.560197,91162587.8,0,609996.9917,0,10856095.46,0,14781115.73,1.242899076
