id,??,??,??,??,??,??,??,WI,NTL_mean,road,dem
BD201800000139,0,2.03706,6.68045,0,91.28103,0,0,3.827586207,0.876040308,20.55,6.635294118
BD201800000140,0,0.67497,2.33554,0,95.08562,0,1.90239,2.035714286,0.861280216,14.98,15.36190476
BD201800000141,0,2.39953,7.89614,0,45.21037,0,0.31344,2.433333333,1.951211575,18.93,5.530952381
BD201800000142,0,0.14103,0,0,56.41287,0,1.62224,4.172413793,0.793390972,19.71,2.31292517
BD201800000143,0,0,0,0,71.70698,0,0,1.724137931,0.855424436,15.84,77.96904762
BD201800000144,0,0,53.62029,0,27.80473,0.30829,0,1.068965517,0.567248743,15.75,25.66190476
BD201800000145,0.76673,0,2.13841,0,71.53735,0,25.55602,1.1,0.283371892,4.67,6.054421769
BD201800000146,0.38201,0,3.97314,0,91.01663,0,2.53934,1,0.288072289,0,69.40714286
BD201800000147,0,0.14266,69.86452,0,24.16033,0,5.831,1.6,0.279270463,0,5.732426304
BD201800000148,0,54.27208,10.32147,0,35.40497,0,0,2.392857143,8.641804121,71.19,10.17142857
BD201800000149,0,63.3564,0.45194,0,21.8874,0,14.30278,3.827586207,13.81917584,88.21,3.68
BD201800000150,0,49.35435,0.79741,0,34.98792,0,14.85884,4.172413793,10.82316721,80.37,74.37619048
BD201800000151,0,44.8158,2.16107,0,40.57773,0,12.44388,5,7.739331771,67.39,19.15686275
BD201800000152,0,40.86135,3.02823,0,41.52431,0,14.58459,3.724137931,7.741145597,64.07,35.3452381
BD201800000153,0.41792,27.96979,0,0,23.25539,0,7.26427,4.12,21.40054582,29.66,5.988372093
BD201800000154,0.20896,69.76894,0.40545,0,22.81259,0,6.63536,4.185185185,16.13589203,97.77,-0.245238095
BD201800000155,0,48.66055,0.25523,0,36.41098,0,14.67177,3.517241379,14.08780633,84.42,7.566893424
BD201800000156,0.38463,59.46638,0.30421,0,28.08966,0,6.26094,4,15.97845871,81.34,362.4444444
BD201800000157,0,61.04435,1.97597,0,23.50559,0,13.47258,4.379310345,10.44582618,86.86,9.07
BD201800000158,0,40.65765,0.26694,0,45.7217,0,13.35224,4.7,10.40715084,80.49,68.50357143
BD201800000159,0.41793,56.15854,6.03911,0,22.79167,0,1.02935,4.481481481,10.02148336,64.33,9.586956522
BD201800000160,0.41793,66.96748,1.26224,0,21.50736,0,4.01441,3.413793103,14.3650194,87.13,161.9614512
BD201800000161,0.32913,69.78951,1.85479,0,22.08042,0,3.01569,2.888888889,13.14278758,92.87,15.02142857
BD201800000162,0,58.32845,6.56514,0,33.37487,0,1.73006,3.642857143,8.981293578,77.72,8.953929539
BD201800000163,0.41792,22.0965,0,0,38.536,0,12.79889,2.633333333,16.90350453,30.79,14.22368421
BD201800000164,0,3.70434,0,0,91.39873,0,4.89545,4.321428571,1.9860348,16.49,60.76
BD201800000165,0.27753,62.75833,0,0,24.34585,0,12.6168, ,11.12935073,80.48,8.223809524
BD201800000166,0.27753,63.61446,0,0,24.5224,0,11.58414, ,11.90842182,97.03,58.71069182
BD201800000167,0,0.14342,5.03509,0,73.66092,3.0059,18.1532,4.4,0.638541401,13.95,9.2925
BD201800000168,1.08895,0,0.50774,2.06321,46.33561,0,50.003, ,0.428991019,0,7.507936508
BD201800000169,0,16.13529,0,0,77.13072,0,6.73252, ,3.401944139,11.82,3.102380952
BD201800000170,0,27.38478,1.6916,0,46.18912,0,24.73303, ,5.123190181,18.59,18.86462882
BD201800000171,0,0,0,0,99.53824,0,0.46026,2.642857143,0.487885917,12.46,3.578947368
BD201800000172,0,0.07159,0.22932,0,99.50857,0,0.18903,3.366666667,0.878675181,0,5.968253968
BD201800000173,0,0,0,0,88.07192,7.43471,4.49187,2.7,0.409619638,0,5.276595745
BD201800000174,0,32.73051,0,0,55.88202,0,11.38599, ,4.569563406,13.07,7.948387097
BD201800000175,0,35.18183,0,0,48.29115,0,16.52557, ,4.756876609,10.74,31.56904762
BD201800000176,0,29.96319,0.10846,0,67.60136,0,2.32548, ,5.7748757,0,11.35051546
BD201800000177,0,0,11.07857,0,85.40214,0,3.5178,2.933333333,0.524615287,6.27,6.019047619
BD201800000178,0,0,6.32937,0,93.66908,0,0,2.75862069,0.51683156,14.25,18.58571429
